obs,action
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.03, 0.02, 0.03, 0.0, 0.0, 0.01, 0.03, 0.03, 0.02, 0.5, 0.6432918651285036, 0.7385821358924034, 0.5812379974941644, 0.865371181794876, 0.9559105532275555]","[7, 0, 6, 2, 8, 1, 11, 10, 3, 12, 5, 4, 9]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.03, 0.02, 0.02, 0.0, 0.0, 0.01, 0.03, 0.03, 0.02, 0.5, 0.9259006931635648, 0.9219974938633482, 0.547324938129957, 0.704669076528196, 0.8314581224306687]","[7, 0, 9, 2, 8, 11, 10, 1, 3, 12, 5, 4, 6]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.03, 0.02, 0.02, 0.0, 0.0, 0.01, 0.04, 0.04, 0.02, 0.6666666666666666, 0.6698931937788094, 0.916247222935366, 0.6153899764543667, 0.7421790223568394, 0.8327183937895188]","[7, 0, 9, 6, 2, 8, 1, 11, 10, 3, 12, 5, 4]"
"[0.5, 0.0, 0.02, 0.0, 0.04, 0.03, 0.02, 0.02, 0.01, 0.0, 0.01, 0.03, 0.04, 0.02, 0.0, 0.6218116028050531, 0.5, 0.5620170138522167, 0.6004362137947623, 0.6640792889157876]","[7, 0, 6, 9, 2, 8, 3, 1, 12, 4, 5, 11, 10]"
"[0.5, 0.0, 0.01, 0.0, 0.04, 0.03, 0.02, 0.02, 0.01, 0.0, 0.01, 0.03, 0.04, 0.02, 0.0, 0.9174981903897313, 0.5, 0.5265346233420553, 0.564953823284601, 0.6285968984056263]","[6, 9, 0, 10, 2, 8, 4, 12, 5, 7, 11, 3, 1]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0, 0.01, 0.04, 0.04, 0.03, 0.16666666666666666, 0.533782507477999, 0.5, 0.5546427803550341, 0.6360091955588757, 0.946813960376685]","[6, 9, 0, 2, 10, 8, 1, 12, 4, 5, 7, 11, 3]"
"[0.5, 0.01, 0.02, 0.0, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.16666666666666666, 0.8167490311133937, 0.5206867975187868, 0.5, 0.6020532127226284, 0.9128579775404375]","[6, 9, 0, 3, 2, 8, 1, 4, 5, 7, 11, 10, 12]"
"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.3333333333333333, 0.458870235082685, 0.8358034330641226, 0.5, 0.5201533610091712, 0.8891227427335161]","[6, 9, 3, 2, 8, 4, 12, 5, 7, 0, 11, 10, 1]"
"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0, 0.02, 0.03, 0.04, 0.02, 0.3333333333333333, 0.7515717621678656, 0.6848758167497784, 0.6822483793031882, 0.8006792498139009, 0.8539985594832945]","[6, 9, 2, 3, 8, 1, 4, 12, 5, 7, 0, 11, 10]"
"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0, 0.02, 0.03, 0.03, 0.02, 0.5, 0.4999781198046378, 0.5924396163867754, 0.5950670538333657, 0.7108704868974882, 0.7641897965668818]","[6, 10, 2, 8, 3, 1, 12, 4, 5, 7, 9, 0, 11]"
"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.04, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.5, 0.8461350153165389, 0.7226509691054537, 0.5509007889253473, 0.5535282263719375, 0.6693316594360601]","[6, 2, 8, 11, 10, 3, 1, 12, 4, 5, 7, 0, 9]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.02, 0.03, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.6666666666666666, 0.67245810013632, 0.9369169557555245, 0.5701728892576864, 0.62349219892708, 0.9290819734366415]","[9, 3, 2, 8, 4, 1, 12, 5, 7, 11, 10, 0, 6]"
"[0.5, 0.01, 0.01, 0.0, 0.03, 0.04, 0.03, 0.03, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.6666666666666666, 0.9754871324580563, 0.8927184895580331, 0.5338094053790781, 0.5871287150484715, 0.9005534718769161]","[9, 2, 8, 4, 1, 12, 5, 6, 7, 11, 10, 0, 3]"
"[0.5, 0.01, 0.01, 0.0, 0.03, 0.04, 0.02, 0.03, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.0, 0.6265422400144492, 0.5212612581388611, 0.5745918766512659, 0.5824268589701489, 0.7008411593583628]","[9, 3, 2, 8, 1, 12, 6, 7, 11, 10, 0, 4, 5]"
"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.03, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.16666666666666666, 0.3553993315125865, 0.6133783083785863, 0.4761169637688943, 0.4949640079903725, 0.5]","[9, 3, 2, 8, 1, 12, 5, 6, 7, 11, 10, 0, 4]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.02, 0.03, 0.01, 0.0, 0.01, 0.03, 0.04, 0.02, 0.16666666666666666, 0.6269165617761511, 0.6773812459778401, 0.5807962407469586, 0.677591884328101, 0.6813869235275797]","[9, 3, 2, 8, 1, 4, 12, 5, 7, 6, 0, 11, 10]"
"[0.5, 0.01, 0.01, 0.0, 0.03, 0.04, 0.02, 0.04, 0.01, 0.0, 0.01, 0.03, 0.04, 0.02, 0.16666666666666666, 0.9194699193460659, 0.6424854814197113, 0.5456898378385688, 0.6422748430694503, 0.64628052061919]","[9, 10, 2, 8, 1, 4, 12, 5, 7, 6, 0, 11, 3]"
