,obs,action
47,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.02, 0.04, 0.02, 0.0, 0.02, 0.05, 0.05, 0.03, 0.3333333333333333, 0.9021971979298371, 0.6288707077923266, 0.5419867158135787, 0.5440739871516689, 0.6351786347184611]",[ 5  1  3  2  8  9  7  4  0 12 11 10  6]
48,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.05, 0.02, 0.04, 0.01, 0.0, 0.03, 0.05, 0.05, 0.03, 0.5, 0.6446160306750434, 0.5460883747890364, 0.5397804478629018, 0.6678795144237563, 0.9550332336726831]",[ 5  1  3  2  8  9  4  0 12  6 11 10  7]
49,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.02, 0.04, 0.01, 0.0, 0.03, 0.05, 0.05, 0.05, 0.6666666666666666, 0.4644023213861222, 0.5695051595384268, 0.5, 0.8566588787873536, 0.9023420795587844]",[ 5  3  1  2  8  7  0  6 12 11 10  9  4]
50,"[0.5, 0.02, 0.01, 0.0, 0.04, 0.04, 0.02, 0.04, 0.01, 0.0, 0.03, 0.05, 0.05, 0.04, 0.6666666666666666, 0.7883425593370532, 0.6662451778182139, 0.5306323309843151, 0.8177860502332419, 0.852711313607523]",[ 5  3  1  2  4  8  7  6 11 10  0  9 12]
51,"[0.5, 0.01, 0.01, 0.0, 0.05, 0.04, 0.03, 0.04, 0.01, 0.0, 0.03, 0.05, 0.05, 0.04, 0.0, 0.4903901274601594, 0.49354034205846914, 0.5, 0.5284656054327502, 0.6719649729335322]",[ 5  3  1  2  8  4  7  6 11 10  9 12  0]
52,"[0.5, 0.01, 0.01, 0.0, 0.05, 0.04, 0.03, 0.05, 0.01, 0.0, 0.03, 0.05, 0.05, 0.03, 0.0, 0.8207452399586733, 0.5, 0.5, 0.6323223594337105, 0.665475392872504]",[ 1  4  2  8  7 11 10  6  3  0  5  9 12]
53,"[0.5, 0.01, 0.01, 0.0, 0.05, 0.04, 0.03, 0.04, 0.01, 0.0, 0.03, 0.05, 0.05, 0.03, 0.16666666666666666, 0.4774509085972909, 0.5535176791970764, 0.5, 0.5866707126358699, 0.8983846688757922]",[ 1  4  2  8  7 11 10 12  3  0  5  9  6]
54,"[0.5, 0.01, 0.02, 0.0, 0.05, 0.04, 0.03, 0.04, 0.01, 0.0, 0.02, 0.05, 0.06, 0.03, 0.16666666666666666, 0.8665435852295124, 0.5399795914400033, 0.5, 0.6632721924136012, 0.8516935476799256]",[ 1  2  4  8  7  6 11 10 12  0  5  3  9]
55,"[0.5, 0.01, 0.02, 0.0, 0.05, 0.04, 0.03, 0.04, 0.01, 0.0, 0.02, 0.05, 0.05, 0.03, 0.3333333333333333, 0.6631064251618568, 0.5676846516217199, 0.5, 0.7561060068880443, 0.8816018083205449]",[ 4  2  9  8  7 10  6 12  3  0  5  1 11]
56,"[0.5, 0.01, 0.01, 0.0, 0.05, 0.05, 0.03, 0.04, 0.01, 0.0, 0.02, 0.06, 0.05, 0.03, 0.5, 0.387609230393025, 0.669165670260304, 0.5, 0.7946614716928048, 0.879236950582091]",[ 2  9  4  8  7  6 11 10 12  0  5  3  1]
57,"[0.5, 0.01, 0.01, 0.0, 0.05, 0.05, 0.03, 0.04, 0.01, 0.0, 0.02, 0.05, 0.06, 0.03, 0.5, 0.7551461161122006, 0.6708186506367758, 0.6140491820714078, 0.7505570454065037, 0.8243745868986401]",[ 1  2  9  8  7 11  6 12  3  0  5  4 10]
58,"[0.5, 0.01, 0.01, 0.0, 0.05, 0.05, 0.03, 0.04, 0.01, 0.0, 0.02, 0.06, 0.05, 0.03, 0.6666666666666666, 0.5708833913408853, 0.6526685723790615, 0.5161607090439656, 0.5729301776093336, 0.7264861138711979]",[ 1  2  9  8  7 10  6 12  3  0  5  4 11]
59,"[0.5, 0.01, 0.01, 0.0, 0.05, 0.06, 0.03, 0.04, 0.01, 0.0, 0.02, 0.05, 0.05, 0.03, 0.6666666666666666, 0.9287018434250361, 0.6835478996210997, 0.5250322000456265, 0.6097303581289634, 0.9572044050624413]",[ 1  2  9  8  7 11  6 12  3  0  5  4 10]
60,"[0.5, 0.01, 0.01, 0.0, 0.06, 0.05, 0.03, 0.04, 0.01, 0.0, 0.02, 0.05, 0.05, 0.04, 0.0, 0.7516850884159775, 0.6184464156635283, 0.5, 0.6557038509597407, 0.7774498766865292]",[ 1  2  9  8  7 11 10  6 12  3  0  5  4]
61,"[0.5, 0.01, 0.02, 0.0, 0.05, 0.05, 0.03, 0.04, 0.01, 0.0, 0.02, 0.05, 0.05, 0.04, 0.16666666666666666, 0.42081143446170205, 0.5754086894342538, 0.5381512541380414, 0.6200893523920934, 0.6971547151610423]",[ 1  9  2  8  7 11 10  6  5  0  4 12  3]
62,"[0.5, 0.01, 0.02, 0.0, 0.05, 0.05, 0.03, 0.05, 0.01, 0.0, 0.02, 0.05, 0.05, 0.03, 0.16666666666666666, 0.761537803425341, 0.5792021881164566, 0.4972640898624047, 0.5345215251586172, 0.6562675508854057]",[ 9  2  8  7 11 10  6  3  5  0  1  4 12]
63,"[0.5, 0.01, 0.02, 0.0, 0.05, 0.05, 0.03, 0.04, 0.02, 0.0, 0.02, 0.06, 0.05, 0.03, 0.3333333333333333, 0.43060127874343834, 0.575979933847234, 0.5, 0.6556794165258703, 0.9310725763956816]",[ 9  2  8  7 11 10 12  3  5  0  1  4  6]
